School,Type,School UID,School Number,Suburb,Coord East,Coord South,Google Maps Link,Google Maps,School Info
Little Flower,Primary,SCH-00187,187,Mosel,-33.750837,25.40018209,"https://www.google.com/maps?q=-33.75083718176702,25.400182093170432","https://www.google.com/maps?q=-33.75083718176702,25.400182093170432","School Address: Main Road to Kokstad, Qumbu Village, Qumbu, 5180, Eastern Cape
School Email: Not publicly listed
School Principal: Ll Kondlo
School Phone number: 078 581 7419
Suburb: Qumbu"
Little Flowers ,ECD,SCH-00328,328,Motherwell,,,,,
Little Ships,ECD,SCH-00226,226,,-33.891912,25.60715675,"https://www.google.com/maps?q=-33.891912,25.60715675","https://www.google.com/maps?q=-33.891912,25.60715675","- School Address: No publicly listed address found, but coordinates place it in Humewood, Port Elizabeth, Eastern Cape.
- School Email: Not publicly available.
- School Principal: Not publicly available.
- School Phone number: Not publicly available.
- Suburb: Humewood, Port Elizabeth, Eastern Cape

No official website or government listing with contact details for ""Little Ships"" in the Eastern Cape was found in public sources. The Google Maps link places it in Humewood, Port Elizabeth."
Living Ubuntu,ECD,SCH-00316,316,Umzamowethu,-34.165628,24.66436600,"https://www.google.com/maps?q=-34.165628,24.664366","https://www.google.com/maps?q=-34.165628,24.664366","- School Address: No publicly listed address found, but coordinates place it near Humansdorp, Eastern Cape.
- School Email: Not publicly available.
- School Principal: Not publicly available.
- School Phone number: Not publicly available.
- Suburb: Near Humansdorp, Eastern Cape.

No official or government listing for ""Living Ubuntu"" school in the Eastern Cape was found in public records or education department databases."
Livuse,ECD,SCH-00079,79,Motherwell,-33.797813,25.61568401,"https://www.google.com/maps?q=-33.79781278343788,25.615684011568295","https://www.google.com/maps?q=-33.79781278343788,25.615684011568295","'- School Address: No specific street address found, but location is at coordinates -33.79781278343788, 25.615684011568295 (as per Google Maps link)
- School Email: Not publicly listed
- School Principal: Not publicly listed
- School Phone number: Not publicly listed
- Suburb: Not explicitly listed, but coordinates place it near Motherwell, Gqeberha (Port Elizabeth), Eastern Cape

No official website or direct contact details for Livuse School were found in public sources."
Lovemore Park,Primary,SCH-00176,176,Lovemore Park,-34.013873,25.51990144,"https://www.google.com/maps?q=-34.013872689660005,25.519901437362172","https://www.google.com/maps?q=-34.013872689660005,25.519901437362172","School Address: Sardinia Bay Road, Lovemore Park, Gqeberha, 6011
School Email: adnamuknadnaya@yahoo.com
School Principal: Not publicly listed
School Phone number: 041 366 1551
Suburb: Lovemore Park"
Loyiso,High School,SCH-00042,42,Zwide,-33.870509,25.56410352,"https://www.google.com/maps?q=-33.87050854890195,25.56410351843085","https://www.google.com/maps?q=-33.87050854890195,25.56410351843085","School Address: Cnr Javu & Spondo Street, Zwide, Gqeberha, 6201
School Email: apoh.amalul@yahoo.com
School Principal: Not publicly listed
School Phone number: +27 41 459 5043
Suburb: Zwide, Gqeberha"
Lukhanyiselo,ECD,SCH-00241,241,,-33.903268,25.58865101,"https://www.google.com/maps?q=-33.903268,25.58865101","https://www.google.com/maps?q=-33.903268,25.58865101","School Address: Khanyiso Loc, Lukhanyiso Str, Pearston 5860, Eastern Cape
School Email: sposiynahkul@gmail.com
School Principal: Mtayisi X (2023)
School Phone number: 042 246 1621
Suburb: Khanyiso Location"
Lukhanyiso,ECD,SCH-00229,229,,,,,,
Lukhanyiso Educare,ECD,SCH-00271,271,New Brighton,-33.861050,25.54001122,"https://www.google.com/maps?q=-33.86105011790571,25.5400112238584","https://www.google.com/maps?q=-33.86105011790571,25.5400112238584","School Address: A174, City of Cape Town, Western Cape
School Email: Not publicly listed
School Principal: Nonzuzo Mzinyathi
School Phone number: Not publicly listed
Suburb: City of Cape Town"
Lukhanyiso Pre School,ECD,SCH-00220,220,Motherwell,,,,,
Lukhanyo,ECD,SCH-00063,63,Kwazakhele,-33.878220,25.59050672,"https://www.google.com/maps?q=-33.87822037098309,25.590506724885252","https://www.google.com/maps?q=-33.87822037098309,25.590506724885252","School Address: 54136 Kunene Street, Amalinda, East London, 5252, Eastern Cape, South Africa
School Email: Not publicly listed
School Principal: Not publicly listed
School Phone number: +27 74 405 9135
Suburb: Amalinda, East London"
Lungisa,High School,SCH-00022,22,Kwa-Dwesi,-33.844498,25.51518252,"https://www.google.com/maps?q=-33.844497888776345,25.51518252433201","https://www.google.com/maps?q=-33.844497888776345,25.51518252433201","School Address: Qumza Street, Kwadwesi, Gqeberha, 6201
School Email: noxolopshiki@gmail.com
School Principal: (Not publicly listed in available sources)
School Phone number: 041 485 1598
Suburb: Kwadwesi, Gqeberha"
Lungiso,High School,SCH-00045,45,Humansdorp,,,,,
Luv Birds Day care,ECD,SCH-00253,253,,,,,,
Machiu,Primary,SCH-00179,179,Salt Lake,-33.889987,25.52665514,"https://www.google.com/maps?q=-33.88998711214483,25.526655139200766","https://www.google.com/maps?q=-33.88998711214483,25.526655139200766","School Address: 10 Kivetts Street, Salt Lake, Gqeberha, 6059
School Email: machiu@telkomsa.net
School Principal: Not publicly listed
School Phone number: 041 481 6844
Suburb: Salt Lake, Gqeberha"
Magqabi,Primary,SCH-00129,129,KwaNobuhle,-33.824059,25.39385785,"https://www.google.com/maps?q=-33.82405867473399,25.393857851318838","https://www.google.com/maps?q=-33.82405867473399,25.393857851318838","School Address: Cnr Mondile & Ponana Tini Str, Kwanobuhle, Kariega, 6230
School Email: Not publicly listed
School Principal: Mtyingizane Sd
School Phone number: 0799547083
Suburb: Kwanobuhle, Kariega"
Malabar,Primary,SCH-00181,181,Malabar,-33.923769,25.54232072,"https://www.google.com/maps?q=-33.923768529430504,25.542320723862222","https://www.google.com/maps?q=-33.923768529430504,25.542320723862222","School Address: Selago Crescent, Malabar, Gqeberha (Port Elizabeth), 6020
School Email: malabarps@mweb.co.za
School Principal: Patula La Reservee (as of December 2022)
School Phone number: 041 457 1305
Suburb: Malabar"
Malikhanye Day Care,ECD,SCH-00228,228,,-33.801811,25.58439876,"https://www.google.com/maps?q=-33.801811,25.58439876","https://www.google.com/maps?q=-33.801811,25.58439876","School Address: Witzenberg, Cape Winelands District Municipality, Eastern Cape
School Email: Not publicly listed
School Principal: Ellennor Human
School Phone number: 230041440
Suburb: Witzenberg"
Masakhane,Primary,SCH-00138,138,Kwazakhele,-33.874109,25.57717802,"https://www.google.com/maps?q=-33.8741085412824,25.577178022486272","https://www.google.com/maps?q=-33.8741085412824,25.577178022486272","School Address: Moyakhe Street, Kwazakhele, Port Elizabeth, 6205
School Email: Not publicly listed (Eastern Cape Education Department contact may be used)
School Principal: Not publicly listed
School Phone number: 041 467 1495 / 041 988 9071
Suburb: Kwazakhele, Port Elizabeth"
Masibambane,High School,SCH-00043,43,Kwazakhele,-33.868488,25.58680271,"https://www.google.com/maps?q=-33.86848824799416,25.586802710839503","https://www.google.com/maps?q=-33.86848824799416,25.586802710839503","School Address: Tshawuka Street, Mbilana Crescent, Kwazakhele, 6205, Eastern Cape
School Email: Not publicly listed
School Principal: Not publicly listed
School Phone number: 041 467 4483
Suburb: Kwazakhele, Port Elizabeth"
Masiphathisane,High School,SCH-00018,18,Motherwell,-33.796288,25.60202358,"https://www.google.com/maps?q=-33.796287928897115,25.60202357858626","https://www.google.com/maps?q=-33.796287928897115,25.60202357858626","School Address: 71 Ndlovu Street, N.U. 1, Motherwell, 6211
School Email: masiphathisane@gmail.com
School Principal: Maarman Ml
School Phone number: 041 469 1992
Suburb: Motherwell, Gqeberha"
Mboniselo,Primary,SCH-00101,101,Motherwell,-33.794105,25.60015771,"https://www.google.com/maps?q=-33.79410480296289,25.60015770898795","https://www.google.com/maps?q=-33.79410480296289,25.60015770898795","School Address: 39 Ndlovu Street, Motherwell, Gqeberha, 6211
School Email: az.vog.vorpce.ude@205001002
School Principal: Not publicly listed
School Phone number: 041 469 1712
Suburb: Motherwell"
Mdengentonga,Primary,SCH-00119,119,Motherwell,-33.811679,25.57574208,"https://www.google.com/maps?q=-33.811679288041724,25.575742082001014","https://www.google.com/maps?q=-33.811679288041724,25.575742082001014","School Address: 147 Kaulela Street, N.U 7 Motherwell, Gqeberha, 6211
School Email: 200100504@vodamail.co.za
School Principal: M.F Matshaya
School Phone number: 041 462 0426 / 064 531 2249
Suburb: Motherwell"
Melisizwe,Primary,SCH-00060,60,Motherwell,-33.790333,25.59184573,"https://www.google.com/maps?q=-33.790332751085955,25.591845726814704","https://www.google.com/maps?q=-33.790332751085955,25.591845726814704","School Address: 21 Masbhanka Street, N.U.10, Motherwell, 6211, Eastern Cape
School Email: Not publicly listed
School Principal: Not publicly listed
School Phone number: 041 465 5564 / 047 531 0390
Suburb: Motherwell, Gqeberha"
Melumzi,Primary,SCH-00148,148,KwaNobuhle,-33.826330,25.40384573,"https://www.google.com/maps?q=-33.82632954384306,25.403845725702336","https://www.google.com/maps?q=-33.82632954384306,25.403845725702336","School Address: 26a Jonas Street, Kwanobuhle, Kariega, 6242
School Email: Not publicly listed
School Principal: Not publicly listed
School Phone number: 041 450 7105
Suburb: Kwanobuhle, Kariega"
Mfesane,High School,SCH-00017,17,Motherwell,-33.777149,25.58798611,"https://www.google.com/maps?q=-33.77714860880096,25.587986112681797","https://www.google.com/maps?q=-33.77714860880096,25.587986112681797","School Address: 74 Inqu Street, Motherwell Nu-12, Gqeberha, 6211
School Email: sssenasefm@gmail.com
School Principal: Not publicly listed in available sources
School Phone number: 041 465 0697
Suburb: Motherwell, Gqeberha"
Minnie Day Care,ECD,SCH-00048,48,Motherwell,-33.804675,25.58112840,"https://www.google.com/maps?q=-33.804675,25.5811284","https://www.google.com/maps?q=-33.804675,25.5811284","'- School Address: No publicly listed address found, but coordinates place it in Bethelsdorp, Gqeberha (Port Elizabeth), Eastern Cape.
- School Email: Not publicly available.
- School Principal: Not publicly available.
- School Phone number: Not publicly available.
- Suburb: Bethelsdorp, Gqeberha (Port Elizabeth), Eastern Cape

No official website or government listing with direct contact details for Minnie Day Care was found. The information is based on the Google Maps location provided."
Missionvale,Primary,SCH-00117,117,Missionvale,-33.888794,25.55549708,"https://www.google.com/maps?q=-33.888794036250005,25.55549708015783","https://www.google.com/maps?q=-33.888794036250005,25.55549708015783","School Address: Colorado Avenue, Missionvale, Gqeberha, 6001
School Email: Not publicly listed
School Principal: Not publicly listed
School Phone number: 041 452 2323
Suburb: Missionvale, Gqeberha"
Mjuleni,Primary,SCH-00177,177,KwaNobuhle,-33.812569,25.37582300,"https://www.google.com/maps?q=-33.81256923220451,25.375822995020258","https://www.google.com/maps?q=-33.81256923220451,25.375822995020258","School Address: 03 Likhonda Street, Kariega, 6230
School Email: Not publicly listed
School Principal: Not publicly listed
School Phone number: 041 977 1206
Suburb: Kariega"
Mngcunube,Primary,SCH-00152,152,KwaNobuhle,-33.798171,25.39147278,"https://www.google.com/maps?q=-33.79817130670961,25.391472781524847","https://www.google.com/maps?q=-33.79817130670961,25.391472781524847","School Address: Hintsa Street, Kwanobuhle T/Ship, Kariega (Uitenhage), 6242
School Email: moc.liamg@loohcs.yramirp.ebunucgnm (mungcunube.primary.school@gmail.com)
School Principal: V.F. Gaike
School Phone number: 041 977 0547 / 041 977 4004
Suburb: Kwanobuhle, Kariega (Uitenhage)"
Mnqophiso,Primary,SCH-00168,168,KwaNobuhle,-33.873033,25.56922562,"https://www.google.com/maps?q=-33.87303280791997,25.569225622012958","https://www.google.com/maps?q=-33.87303280791997,25.569225622012958","School Address: Mbobela Street, Zwide, Gqeberha, 6205
School Email: moc.oohay@19kcidleinad
School Principal: Not publicly listed
School Phone number: 041 459 0420
Suburb: Zwide"
Molefe,Primary,SCH-00284,284,New Brighton,-33.906869,25.59147571,"https://www.google.com/maps?q=-33.906869,25.59147571","https://www.google.com/maps?q=-33.906869,25.59147571","School Address: 208 Connacher Street, New Brighton, Port Elizabeth (Gqeberha), 6200
School Email: molefesp.school@gamil.com
School Principal: Mahleza N
School Phone number: 041 454 5205
Suburb: New Brighton"
Moses Mabhida,High School,SCH-00041,41,Kirkwood,-32.963987,,,,
Motherwell,High School,SCH-00025,25,Motherwell,-33.815262,25.57488437,"https://www.google.com/maps?q=-33.81526159530772,25.574884368507202","https://www.google.com/maps?q=-33.81526159530772,25.574884368507202","School Address: Mzwazwa Street, Nu 7, Motherwell, 6211
School Email: hgihllewrehtom@gmail.com
School Principal: Mr Sonkwala
School Phone number: 041 462 8171
Suburb: Motherwell, Gqeberha"
Mqhayi,Primary,SCH-00140,140,KwaNobuhle,-32.937128,27.72922137,"https://www.google.com/maps?q=-32.93712786766852,27.729221367702234","https://www.google.com/maps?q=-32.93712786766852,27.729221367702234","School Address: 9 Jabavu Road, Kwanobuhle, Kariega, 6242
School Email: 90iyahqm@gmail.com
School Principal: Not publicly listed
School Phone number: 041 977 3939
Suburb: Kwanobuhle, Kariega"
Msobomvu Full Service,Primary,SCH-00323,323,Bongweni,-32.739899,25.79655624,"https://www.google.com/maps?q=-32.73989898,25.79655624","https://www.google.com/maps?q=-32.73989898,25.79655624","School Address: 136 Khala Street, Bongweni Location, Cookhouse, 5820
School Email: spuvmobosm@gmail.com
School Principal: Ziya-Gxoyiya T
School Phone number: Not publicly listed
Suburb: Bhongweni, Cookhouse"
Msobomvu Preschool,ECD,SCH-00297,297,Bongweni,-32.745732,25.79667515,"https://www.google.com/maps?q=-32.7457315820498,25.796675154926096","https://www.google.com/maps?q=-32.7457315820498,25.796675154926096","School Address: 136 Khala Street, Bongweni Location, Cookhouse, 5820
School Email: spuvmobosm@gmail.com
School Principal: Ziya-Gxoyiya T
School Phone number: Not publicly listed
Suburb: Bhongweni, Cookhouse"
Mthonjeni,Primary,SCH-00158,158,KwaNobuhle,-33.802910,25.38784437,"https://www.google.com/maps?q=-33.802910348210084,25.387844368506492","https://www.google.com/maps?q=-33.802910348210084,25.387844368506492","School Address: Runletts Location, Peddie, 5640, Eastern Cape
School Email: Not publicly listed
School Principal: Not publicly listed
School Phone number: +27 83 683 1118, +27 47 553 0044
Suburb: Runletts Location, Peddie"
Mzamomhle Edu-care,ECD,SCH-00294,294,Bethelsdorp,-32.739804,25.79875313,"https://www.google.com/maps?q=-32.73980434430372,25.798753127420422","https://www.google.com/maps?q=-32.73980434430372,25.798753127420422","School Address: Not explicitly listed, but located at the coordinates -32.73980434430372, 25.798753127420422 (Eastern Cape)
School Email: Not publicly listed
School Principal: Thembakazi Mqwayi
School Phone number: Not publicly listed
Suburb: Not explicitly listed, but based on the coordinates, it is near Hofmeyr, Eastern Cape

For more details, you may need to contact the Eastern Cape Department of Education or visit the school in person."
Mzimhlophe,Primary,SCH-00096,96,Zwide,-33.857689,25.55707017,"https://www.google.com/maps?q=-33.8576889837666,25.557070166187824","https://www.google.com/maps?q=-33.8576889837666,25.557070166187824","School Address: Qogi Street, Zwide, Gqeberha (Port Elizabeth), 6201
School Email: ehpolhmizm@webmail.co.za
School Principal: Msutwana M
School Phone number: 041 464 1930
Suburb: Zwide"
Mzingisi,Primary,SCH-00312,312,Mdantsane,,,,,
Mzomtsha,Primary,SCH-00157,157,Kwazakhele,,,,,
Mzontsundu,High School,SCH-00029,29,Kwazakhele,,,,,
Ncedo,High School,SCH-00039,39,Motherwell,-33.788632,25.58968988,"https://www.google.com/maps?q=-33.78863200648807,25.589689881524286","https://www.google.com/maps?q=-33.78863200648807,25.589689881524286","School Address: 169 Mnenga Street, Nu 10, Motherwell, 6211, Eastern Cape
School Email: ssodecn@gmail.com
School Principal: Pityana-Keswa To (2023)
School Phone number: +27 41 465 5007
Suburb: Motherwell 6"
Nceduluntu Edu-care,ECD,SCH-00293,293,Buizedenhoutville,-32.681651,26.29227641,"https://www.google.com/maps?q=-32.68165081501924,26.29227641022517","https://www.google.com/maps?q=-32.68165081501924,26.29227641022517","- School Address: Banzi Administrative Area, Komkhulu Location, Eastern Cape
- School Email: Not publicly listed
- School Principal: Not publicly listed
- School Phone number: Not publicly listed
- Suburb: Komkhulu Location, near Whittlesea, Eastern Cape"
Ndyebo,High School,SCH-00027,27,Motherwell,-33.808306,25.58100072,"https://www.google.com/maps?q=-33.808306022373955,25.58100072433005","https://www.google.com/maps?q=-33.808306022373955,25.58100072433005","School Address: Nkobongo Street, Nu 9 Motherwell, Gqeberha, 6211
School Email: Not publicly listed
School Principal: Not publicly listed
School Phone number: 060 300 6871
Suburb: Motherwell, Gqeberha"
Ndzondelelo,High School,SCH-00031,31,Zwide,-33.862197,25.55607487,"https://www.google.com/maps?q=-33.86219726996942,25.556074872404213","https://www.google.com/maps?q=-33.86219726996942,25.556074872404213","School Address: Koyana Street, Zwide, Gqeberha, 6201
School Email: az.oc.liamadov@855001002
School Principal: Not publicly listed
School Phone number: 041 464 1106
Suburb: Zwide"
Nelisa,ECD,SCH-00243,243,Motherwell,-33.800678,25.57951692,"https://www.google.com/maps?q=-33.800678,25.57951692","https://www.google.com/maps?q=-33.800678,25.57951692","- School Address: Not found in public sources
- School Email: Not found in public sources
- School Principal: Not found in public sources
- School Phone number: Not found in public sources
- Suburb: Not found in public sources

No publicly available information was found for Nelisa School in the Eastern Cape using the provided details."
New Brighton Future Kids,ECD,SCH-00233,233,,-33.905964,25.59275929,"https://www.google.com/maps?q=-33.905964,25.59275929","https://www.google.com/maps?q=-33.905964,25.59275929","'- School Address: No publicly listed street address found, but coordinates place it in New Brighton, Gqeberha (Port Elizabeth), Eastern Cape.
- School Email: Not publicly available.
- School Principal: Not publicly available.
- School Phone number: Not publicly available.
- Suburb: New Brighton, Gqeberha (Port Elizabeth), Eastern Cape."
Newell,High School,SCH-00016,16,New Brighton,-33.898808,,,,
Njongozabantu,ECD,SCH-00081,81,Motherwell,-33.797261,25.60559210,"https://www.google.com/maps?q=-33.797261,25.6055921","https://www.google.com/maps?q=-33.797261,25.6055921","School Address: Mxhalanga Location, Izele, Mxhalanga, 5600
School Email: Not publicly listed
School Principal: Not publicly listed
School Phone number: 083 331 1674 / 084 773 4624
Suburb: King William's Town (now known as Qonce)"
Nkuthalo,Primary,SCH-00074,74,Zwide,-33.877910,25.56494425,"https://www.google.com/maps?q=-33.877910496556275,25.564944252694595","https://www.google.com/maps?q=-33.877910496556275,25.564944252694595","School Address: Mahakana Street, Zwide Township, Gqeberha, 6205
School Email: Not publicly listed
School Principal: Not publicly listed
School Phone number: 073 995 2577
Suburb: Zwide, Gqeberha"
Nobandla,ECD,SCH-00320,320,New Brighton,-33.893886,25.59293301,"https://www.google.com/maps?q=-33.893886,25.59293301","https://www.google.com/maps?q=-33.893886,25.59293301","School Address: Boomplas Location, Machubeni Admin Area, Lady Frere, 5410
School Email: Not publicly listed
School Principal: Nothemba Ncipha (for Nobandla ECDC, which may be the same or related to the primary school)
School Phone number: 073 125 3151
Suburb: Lady Frere"
Nokwezi,Primary,SCH-00195,195,KwaNobuhle,-33.828756,25.37621881,"https://www.google.com/maps?q=-33.82875592330766,25.376218810361873","https://www.google.com/maps?q=-33.82875592330766,25.376218810361873","School Address: 10th Avenue, Kwanobuhle, Kariega, 6242
School Email: okom.cirtaP@gmail.com (reverse of ""Patric.mok@Gmail.com"" as listed)
School Principal: Not publicly listed
School Phone number: 041 977 0150
Suburb: Kwanobuhle, Kariega"
Nolundi,ECD,SCH-00224,224,New Brighton,-33.894761,25.58983908,"https://www.google.com/maps?q=-33.894761,25.58983908","https://www.google.com/maps?q=-33.894761,25.58983908","School Address: Near coordinates -33.894761, 25.58983908, Eastern Cape (exact street address not listed publicly)
School Email: Not publicly listed
School Principal: Nolundi Vokwana
School Phone number: Not publicly listed
Suburb: Not explicitly listed, but location is near KwaNobuhle/Uitenhage, Eastern Cape"
Noluthando,ECD,SCH-00321,321,New Brighton,-33.872573,25.57191100,"https://www.google.com/maps?q=-33.872573,25.571911","https://www.google.com/maps?q=-33.872573,25.571911","School Address: Mtsheko A/A, Cacadu, 5410, Eastern Cape
School Email: info@noluthandops.co.za
School Principal: A.A. Ncinane
School Phone number: 084 400 7341
Suburb: Cacadu"
Nomathamsanqa,Primary,SCH-00167,167,Resevoir Hills,-33.821454,25.45486125,"https://www.google.com/maps?q=-33.82145388172952,25.454861248998878","https://www.google.com/maps?q=-33.82145388172952,25.454861248998878","School Address: 1 Tobile Busakwe, Khayamnadi, Despatch, 6220
School Email: nomathamsanqaprimary@gmail.com
School Principal: Not publicly listed
School Phone number: +27 41 933 2446
Suburb: Khayamnadi, Despatch"
Nomonde,ECD,SCH-00238,238,New Brighton,-33.898924,25.59167732,"https://www.google.com/maps?q=-33.898924,25.59167732","https://www.google.com/maps?q=-33.898924,25.59167732","School Address: No 574 Hayiya Street, Molteno, 5500
School Email: ozeqnm@gmail.com
School Principal: Lubisi Mb
School Phone number: +27 87 655 6766
Suburb: Nomonde Township, Molteno"
Nomtha,ECD,SCH-00308,308,Kwazakhele,,,,,
Noninzi Luzipho,Primary,SCH-00193,193,KwaNobuhle,-33.808967,25.36532896,"https://www.google.com/maps?q=-33.808967338566596,25.365328964338794","https://www.google.com/maps?q=-33.808967338566596,25.365328964338794","School Address: 17 Helen Joseph, Kwanobuhle, Uitenhage (Kariega), 6242
School Email: noninziluziphoschool@gmail.com
School Principal: Not publicly listed in recent sources
School Phone number: 041 978 0215 / +27 47 874 0716
Suburb: Kwanobuhle, Kariega (Uitenhage)"
Nonkqubela,ECD,SCH-00315,315,Motherwell,-33.813010,25.58137617,"https://www.google.com/maps?q=-33.813009862966666,25.58137616729963","https://www.google.com/maps?q=-33.813009862966666,25.58137616729963","School Address: Cabazana A/A, Mount Ayliff, 4735
School Email: az.oc.liambew@canaldeqm
School Principal: Cita (Contact Person)
School Phone number: +27 76 829 2002
Suburb: Mount Ayliff"
Nontsapho,ECD,SCH-00252,252,Motherwell,-33.804926,25.60950307,"https://www.google.com/maps?q=-33.804926,25.60950307","https://www.google.com/maps?q=-33.804926,25.60950307","- School Address: Near coordinates -33.804926, 25.60950307, Eastern Cape, South Africa
- School Email: Not publicly listed
- School Principal: Not publicly listed
- School Phone number: Not publicly listed
- Suburb: Not explicitly listed, but based on coordinates, it is near KwaNobuhle, Uitenhage, Eastern Cape

No direct public listings for principal, email, or phone number were found for Nontsapho School."
Nontsikelelo,ECD,SCH-00300,300,Mdantsane,,,,,
Nosandla Educare,ECD,SCH-00206,206,Zinyoka ,-33.858149,25.53613634,"https://www.google.com/maps?q=-33.858148768407794,25.536136341975947","https://www.google.com/maps?q=-33.858148768407794,25.536136341975947","I could not find specific public information for Nosandla Educare such as the principal, school email, or phone number. However, based on the Google Maps link, here is what can be provided:

- School Address: Near -33.8581488, 25.5361363, Eastern Cape, South Africa
- School Email: Not publicly available
- School Principal: Not publicly available
- School Phone number: Not publicly available
- Suburb: Not explicitly listed, but coordinates are in the Eastern Cape region

No further details are available from public sources at this time."
Nosipho,Primary,SCH-00162,162,KwaNobuhle,-33.822789,25.40052412,"https://www.google.com/maps?q=-33.82278852409641,25.400524123856027","https://www.google.com/maps?q=-33.82278852409641,25.400524123856027","School Address: Makappa Street, Kwanobuhle, Kariega, 6230
School Email: yramirpohpison@gmail.com
School Principal: Not publicly listed
School Phone number: 041 978 0750
Suburb: Kwanobuhle, Kariega"
Ntlemeza,Primary,SCH-00172,172,KwaNobuhle,-33.802569,25.40192344,"https://www.google.com/maps?q=-33.80256926241739,25.401923435503267","https://www.google.com/maps?q=-33.80256926241739,25.401923435503267","School Address: 02 Anta Street, Kwa-Nobuhle, Kariega, 6242
School Email: Not publicly listed
School Principal: Not publicly listed
School Phone number: 083 347 6286 / 041 977 1014
Suburb: Kwa-Nobuhle, Kariega"
Ntyatyambo,Primary,SCH-00083,83,Missionvale,-33.871688,25.55607330,"https://www.google.com/maps?q=-33.871687922610555,25.55607330094124","https://www.google.com/maps?q=-33.871687922610555,25.55607330094124","School Address: Sir George Grey Street, Zwide, Gqeberha, 6205
School Email: Not publicly listed
School Principal: Not publicly listed
School Phone number: 041 464 1920
Suburb: Zwide, Gqeberha"
Nxanelwimfundo,Primary,SCH-00059,59,Motherwell,,,,,
P.G Mangqana Pre-School,ECD,SCH-00260,260,,,,,,
P.G Manqana,ECD,SCH-00270,270,Kwazakhele,,,,,
Papenkuil,Primary,SCH-00185,185,Galvandale,-33.920859,25.55307562,"https://www.google.com/maps?q=-33.92085852426192,25.553075622015886","https://www.google.com/maps?q=-33.92085852426192,25.553075622015886","School Address: Cnr Bell & Beetlestone Roads, Gelvandale, Port Elizabeth, 6016
School Email: Not publicly listed
School Principal: Not publicly listed
School Phone number: 041 457 2024
Suburb: Gelvandale"
Paulos Oyigcwele,ECD,SCH-00296,296,Motherwell,-33.808992,25.59967265,"https://www.google.com/maps?q=-33.80899235007284,25.599672647660306","https://www.google.com/maps?q=-33.80899235007284,25.599672647660306","'- School Address: No publicly listed street address found, but location is at coordinates -33.80899235007284, 25.599672647660306 (per Google Maps)
- School Email: Not publicly available
- School Principal: Not publicly available
- School Phone number: Not publicly available
- Suburb: The coordinates place the school in or near Motherwell, Gqeberha (Port Elizabeth), Eastern Cape

No official school website or government listing with contact details was found in public search results."
Pendla,Primary,SCH-00078,78,New Brighton,-33.900606,25.58775072,"https://www.google.com/maps?q=-33.900606398277866,25.58775072433527","https://www.google.com/maps?q=-33.900606398277866,25.58775072433527","School Address: Ntshekisa Road, New Brighton, Gqeberha, 6200
School Email: Not publicly listed
School Principal: P M Peter
School Phone number: 041 454 1392
Suburb: New Brighton"
Phakama,Primary,SCH-00104,104,Kwazakhele,-33.865499,25.58162366,"https://www.google.com/maps?q=-33.86549856180082,25.58162365501606","https://www.google.com/maps?q=-33.86549856180082,25.58162365501606","School Address: Ngqondela Street, Kwazakhele, Gqeberha, 6205
School Email: Not publicly listed (general contact: moc.liamg@skosem)
School Principal: Not publicly listed
School Phone number: 041 467 0020
Suburb: Kwazakhele"
Phakamile,Primary,SCH-00285,285,Mdantsane,-33.821083,25.38644927,"https://www.google.com/maps?q=-33.82108279416098,25.386449267877442","https://www.google.com/maps?q=-33.82108279416098,25.386449267877442","School Address: Site 3104, NU 1, Mdantsane, 5219, Eastern Cape
School Email: spjelimakahp@gmail.com
School Principal: Pumlomo Glj
School Phone number: 063 568 5960
Suburb: Mdantsane"
Phakamisa,High School,SCH-00032,32,Zwide,-33.857783,25.56218855,"https://www.google.com/maps?q=-33.85778258800996,25.562188551320826","https://www.google.com/maps?q=-33.85778258800996,25.562188551320826","School Address: Katyu Street, Zwide, Gqeberha (Port Elizabeth), 6201
School Email: Not publicly listed
School Principal: Not publicly listed
School Phone number: 041 464 3435
Suburb: Zwide"
Phindubuye,Primary,SCH-00201,201,KwaNobuhle,-33.819592,25.39819963,"https://www.google.com/maps?q=-33.81959193215531,25.398199627515535","https://www.google.com/maps?q=-33.81959193215531,25.398199627515535","School Address: 1 Freemantle Street, Kwa-Nobuhle, Kariega, 6242
School Email: Not publicly listed
School Principal: Not publicly listed
School Phone number: 041 977 1992
Suburb: Kwa-Nobuhle, Kariega"
Qaphelani,High School,SCH-00003,3,Kwazakhele,-33.881620,25.58561627,"https://www.google.com/maps?q=-33.881619868547794,25.585616268510798","https://www.google.com/maps?q=-33.881619868547794,25.585616268510798","School Address: Kulati Street, Kwazakhele, Gqeberha, 6205
School Email: hgihinalehpaq@gmail.com
School Principal: Not publicly listed
School Phone number: 041 459 5015
Suburb: Kwazakhele"
